Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Occluded
LINEMOD/ammeter/JPEGImages/0.jpg;LINEMOD/ammeter;120;134;292;252;0
LINEMOD/ammeter/JPEGImages/1.jpg;LINEMOD/ammeter;121;128;293;246;0
LINEMOD/ammeter/JPEGImages/2.jpg;LINEMOD/ammeter;127;120;299;237;0
LINEMOD/ammeter/JPEGImages/3.jpg;LINEMOD/ammeter;134;109;305;225;0
LINEMOD/ammeter/JPEGImages/4.jpg;LINEMOD/ammeter;143;102;313;218;0
LINEMOD/ammeter/JPEGImages/5.jpg;LINEMOD/ammeter;152;95;321;210;0
LINEMOD/ammeter/JPEGImages/6.jpg;LINEMOD/ammeter;159;90;327;204;0
LINEMOD/ammeter/JPEGImages/7.jpg;LINEMOD/ammeter;165;88;332;201;0
LINEMOD/ammeter/JPEGImages/8.jpg;LINEMOD/ammeter;171;86;337;198;0
LINEMOD/ammeter/JPEGImages/9.jpg;LINEMOD/ammeter;178;82;343;193;0
LINEMOD/ammeter/JPEGImages/10.jpg;LINEMOD/ammeter;186;79;351;189;0
LINEMOD/ammeter/JPEGImages/11.jpg;LINEMOD/ammeter;191;78;355;188;0
LINEMOD/ammeter/JPEGImages/12.jpg;LINEMOD/ammeter;195;79;359;188;0
LINEMOD/ammeter/JPEGImages/13.jpg;LINEMOD/ammeter;209;78;371;188;0
LINEMOD/ammeter/JPEGImages/14.jpg;LINEMOD/ammeter;215;82;377;191;0
LINEMOD/ammeter/JPEGImages/15.jpg;LINEMOD/ammeter;230;86;390;194;0
LINEMOD/ammeter/JPEGImages/16.jpg;LINEMOD/ammeter;233;92;393;198;0
LINEMOD/ammeter/JPEGImages/17.jpg;LINEMOD/ammeter;238;94;397;199;0
LINEMOD/ammeter/JPEGImages/18.jpg;LINEMOD/ammeter;243;100;401;204;0
LINEMOD/ammeter/JPEGImages/19.jpg;LINEMOD/ammeter;251;103;409;206;0
LINEMOD/ammeter/JPEGImages/20.jpg;LINEMOD/ammeter;252;108;410;209;0
LINEMOD/ammeter/JPEGImages/21.jpg;LINEMOD/ammeter;257;109;415;211;0
LINEMOD/ammeter/JPEGImages/22.jpg;LINEMOD/ammeter;261;111;419;212;0
LINEMOD/ammeter/JPEGImages/23.jpg;LINEMOD/ammeter;264;112;421;212;0
LINEMOD/ammeter/JPEGImages/24.jpg;LINEMOD/ammeter;266;113;424;212;0
LINEMOD/ammeter/JPEGImages/25.jpg;LINEMOD/ammeter;269;113;426;212;0
LINEMOD/ammeter/JPEGImages/26.jpg;LINEMOD/ammeter;271;113;429;213;0
